,County,Squared Area,Licensed Drivers,Population,Teenagers ,65 or older,Car Accidents,Injuries,Alcohol Related Injuries,Speed related Injuries,Unrestrained related Injuries,Year,I-81,I-95,Fatalities,avgRain,avgSnow,countyElevation
122,"Portsmouth, VA",46.62,58582,94572,5032,13831,1361,1036,58,164,52,2017,No,No,13,35.30588187,11.54183175,733.3912647
123,"Radford, VA",10.19,8224,17658,2611,1604,165,84,11,20,11,2017,No,No,2,35.44288326,11.58898149,736.1521341
124,"City of Richmond, VA",62.61,143769,227032,13757,28999,5487,2649,144,404,123,2017,No,Yes,21,35.58040163,11.63630849,738.9233828
125,"Roanoke, VA",42.93,64297,99837,4864,16103,1011,463,36,110,25,2017,No,No,12,43.6,15.5,1726
126,"Salem, VA",14.55,19416,25862,2103,4798,544,240,17,52,14,2017,Yes,No,2,35.71843893,11.68381341,741.7050496
127,"Staunton, VA",19.76,17837,24528,1276,5166,465,583,23,57,24,2017,No,No,0,35.85699712,11.73149692,744.4971739
128,"Suffolk, VA",429.09,61776,90237,5601,12586,1692,1196,71,143,40,2017,No,No,18,35.99607816,11.77935969,747.2997948
129,"Virginia Beach, VA",497.35,323973,450435,26590,61631,6741,3416,235,491,93,2017,No,No,25,36.13568403,11.82740239,750.1129519
130,"Waynesboro, VA",14.06,15935,22327,1191,4048,367,177,12,36,20,2017,No,No,1,36.27581671,11.87562571,752.9366848
131,"Williamsburg, VA",8.74,20009,15031,2420,2294,209,139,7,8,6,2017,No,No,0,36.41647818,11.92403032,755.7710333
132,"Winchester, VA",9.33,21259,27932,2029,4307,630,161,11,13,3,2017,No,No,0,36.55767044,11.9726169,758.6160372
133,"Accomack, VA",1310.18,22938,32818,1752,7265,570,277,35,89,22,2016,No,No,8,43,7.2,16
134,"Albemarle, VA",726.24,72289,106419,9403,18332,2128,875,55,151,56,2016,No,No,9,44.1,14.9,737
135,"Alleghany, VA",446.93,10717,15372,967,3659,271,101,18,21,11,2016,No,No,4,39.2,17.6,2000
136,"Amelia, VA",358.57,10248,12830,715,2439,160,94,8,31,9,2016,No,No,5,44.3,10.6,303
137,"Amherst, VA",478.81,23141,31667,1928,6355,486,240,24,49,18,2016,No,No,5,43.9,13.5,1116
138,"Appomattox, VA",334.75,11581,15505,936,3104,195,143,23,49,24,2016,No,Yes,3,44.2,10.9,659
139,"Arlington, VA",25.97,174155,231610,8535,23368,2711,1048,91,176,31,2016,No,No,1,42.9,15.2,200
140,"Augusta, VA",972.28,57381,74774,4337,14884,1173,537,47,170,60,2016,Yes,No,19,38.1,21.7,1882
141,"Bath, VA",534.59,3847,4413,235,1155,59,39,2,17,5,2016,No,No,1,38.3,26.4,2206
142,"Bedford, VA",769.36,57894,77828,4794,15844,1038,583,64,151,43,2016,No,No,14,44,10.5,1040
143,"Bland, VA",358.74,4838,6475,297,1418,153,74,6,18,7,2016,No,No,1,43.3,35.5,2704
144,"Botetourt, VA",545.98,26132,33150,2047,7078,701,306,20,104,22,2016,Yes,No,4,44.3,13.5,1487
145,"Brunswick, VA",569.4,10470,16275,838,3326,329,126,15,61,27,2016,No,No,7,45.6,4.4,278
146,"Buchanan, VA",503.9,16687,22102,1132,4598,289,182,16,88,29,2016,No,No,3,43.8,21.1,1871
147,"Buckingham, VA",583.6,10613,17060,826,3150,248,123,13,42,18,2016,No,No,8,43.2,14,501
148,"Campbell, VA",507.28,38023,55180,3212,10495,795,357,49,80,37,2016,No,No,11,43.7,7.3,692
149,"Caroline, VA",538.94,21720,30071,1645,4724,588,256,20,78,32,2016,No,Yes,12,42.8,13.4,160
150,"Carroll, VA",477.84,21863,29699,1611,6852,657,348,31,120,45,2016,No,No,6,49,10.7,2458
151,"Charles City, VA",203.9,5704,7023,334,1603,83,64,4,15,9,2016,No,No,4,45.6,7.4,62
152,"Charlotte, VA",477.46,8666,12130,771,2602,112,70,13,28,11,2016,No,No,7,44.4,6.1,486
153,"Chesterfield, VA",438.43,252677,338815,24503,47279,5763,2595,203,528,131,2016,No,Yes,24,44.4,8.7,199
154,"Clarke, VA",178.2,10721,14322,931,2833,285,146,11,52,10,2016,No,No,3,41.6,20.6,644
155,"Craig, VA",330.07,3914,5140,296,1103,79,34,0,14,5,2016,No,No,0,44,18.3,2180
156,"Culpeper, VA",382.32,28862,50333,3272,7488,760,740,49,117,42,2016,No,No,5,40.6,20.8,377
157,"Cumberland, VA",299.76,7194,9742,569,2079,113,78,11,34,8,2016,No,No,1,43.4,11.8,332
158,"Dickenson, VA",334.57,10341,15040,823,3063,168,76,3,40,6,2016,No,No,1,43.7,21.8,1918
159,"Dinwiddie, VA",507.04,19507,28025,1890,4668,456,270,14,63,22,2016,No,No,9,45.7,6.9,218
160,"Essex, VA",285.92,7970,11096,610,2376,254,140,9,47,23,2016,No,No,3,43.1,12.4,86
161,"Fairfax, VA",406.81,809700,1144636,72641,144779,13781,7564,459,1615,218,2016,No,No,35,41.6,21.6,266
162,"Fauquier, VA",651.83,51887,68784,4735,10771,1649,764,76,203,46,2016,No,No,15,41.9,20,530
163,"Floyd, VA",381.49,12010,15658,910,3378,132,49,3,20,11,2016,No,No,1,45.3,20.9,2588
164,"Fluvanna, VA",290.23,20247,26169,1516,5029,266,128,14,28,12,2016,No,No,0,42.7,14.6,383
165,"Franklin, VA",711.6,39388,56159,3481,12514,941,434,53,131,52,2016,No,No,16,44.9,17.7,1200
166,"Frederick, VA",415.66,61601,84684,5318,13921,1218,502,44,130,42,2016,Yes,No,9,38.5,21.7,913
167,"Giles, VA",360.97,11451,16887,1018,3554,193,77,1,18,10,2016,No,No,1,37.7,23.3,2472
168,"Gloucester, VA",288.02,30822,37101,2128,6728,408,275,21,54,22,2016,No,No,5,45.5,4.8,40
169,"Goochland, VA",290.01,18259,22475,1326,4654,491,215,16,26,23,2016,No,No,2,42.4,13.7,273
